crop,district,year,area_acre,production_mton,avg_rainfall_mm,irrigated_percent,fertilizer_kg_per_acre,tsp_kg_per_acre,urea_kg_per_acre,dap_kg_per_acre
Onion,Gazipur,2020,894.17,7993.11,2884.8,69.0,237.9,38.6,206.8,32.8
Onion,Gazipur,2021,7582.86,74709.67,2998.4,69.8,174.2,29.2,111.5,49.5
Onion,Gazipur,2022,7774.22,76261.94,2271.1,45.9,155.9,25.3,212.2,53.3
Onion,Gazipur,2023,1238.22,4496.63,2396.8,85.3,169.8,49.8,152.1,53.4
Onion,Gazipur,2024,6489.2,20223.12,2093.5,69.7,207.3,50.9,70.5,50.5
Onion,Gazipur,2025,5939.06,20893.83,2922.6,59.1,234.6,22.9,86.4,30.2
Onion,Gopalganj,2012,7438.39,31968.91,2397.8,82.6,108.0,25.1,67.6,42.2
Onion,Gopalganj,2013,3787.33,23447.4,2232.9,80.0,209.4,34.0,187.0,39.8
Onion,Gopalganj,2014,1001.83,8146.72,2678.6,85.8,248.3,17.8,55.4,38.7
Onion,Gopalganj,2015,2763.4,18366.43,2525.7,58.2,148.3,24.3,134.2,50.8
Onion,Gopalganj,2016,5797.21,45676.79,2638.1,46.1,242.4,58.7,112.5,39.9
Onion,Gopalganj,2017,4742.71,29308.88,2943.9,52.9,168.6,63.1,166.2,49.8
Onion,Gopalganj,2018,3537.95,30791.53,2331.9,65.3,117.6,11.7,197.8,34.3
Onion,Gopalganj,2019,1196.69,11868.75,2896.0,92.0,196.3,38.5,107.6,30.0
Onion,Gopalganj,2020,7006.09,44570.5,2167.7,64.3,209.1,58.4,107.8,13.2
Onion,Gopalganj,2021,2520.14,16100.32,2094.1,40.5,83.6,11.4,101.0,18.7
Onion,Gopalganj,2022,7728.1,49109.6,2775.6,79.7,156.6,20.4,115.8,31.7
Onion,Gopalganj,2023,5504.73,54491.51,2032.5,51.9,76.6,14.6,197.7,19.4
Onion,Gopalganj,2024,7154.27,31501.63,2696.0,70.3,243.6,64.1,155.2,50.0
Onion,Gopalganj,2025,1571.05,13265.34,2462.7,84.4,78.0,25.1,153.5,20.2
Onion,Jamalpur,2012,7172.54,41471.27,2667.0,55.0,65.2,45.5,79.0,21.8
Onion,Jamalpur,2013,4912.02,39905.17,2679.4,88.0,138.7,20.4,83.3,46.8
Onion,Jamalpur,2014,2329.83,7620.98,2933.1,41.6,77.4,11.3,140.4,31.0
Onion,Jamalpur,2015,5794.28,44523.29,2978.4,43.1,109.5,38.2,119.0,47.1
Onion,Jamalpur,2016,2974.02,17942.28,2221.3,62.1,112.7,22.6,110.8,21.2
Onion,Jamalpur,2017,3492.48,22096.38,2085.2,59.3,225.6,53.7,143.6,12.7
Onion,Jamalpur,2018,1989.65,18630.21,2985.8,53.6,79.3,16.2,161.4,47.6
Onion,Jamalpur,2019,4490.17,19397.9,2670.7,43.2,92.5,64.6,235.4,38.7
Onion,Jamalpur,2020,6644.72,20427.55,2237.5,82.0,216.9,50.0,201.5,48.8
Onion,Jamalpur,2021,6848.32,45689.69,2843.7,94.6,153.9,39.9,50.8,21.5
Onion,Jamalpur,2022,6557.73,61096.73,2579.3,86.0,93.4,31.9,73.0,49.5
Onion,Jamalpur,2023,5188.4,44775.44,2507.0,70.2,84.3,24.3,144.0,35.7
Onion,Jamalpur,2024,1034.51,8305.68,2731.7,53.6,132.3,57.2,49.1,27.8
Onion,Jamalpur,2025,744.51,3150.41,2939.6,55.0,157.3,26.0,202.1,52.2
Onion,Kishoreganj,2012,3003.84,16078.69,2091.9,71.5,132.6,35.4,95.7,44.8
Onion,Kishoreganj,2013,623.63,5667.86,2884.5,93.6,88.2,12.5,103.8,53.3
Onion,Kishoreganj,2014,3841.07,31353.82,2145.5,56.5,119.7,21.8,169.6,20.0
Onion,Kishoreganj,2015,6651.78,28475.13,2960.3,53.4,138.8,39.1,88.8,12.2
Onion,Kishoreganj,2016,7013.55,51678.92,2990.2,60.7,91.9,46.0,143.4,12.4
Onion,Kishoreganj,2017,7738.07,38907.61,2152.7,66.2,211.8,63.6,198.8,35.7
Onion,Kishoreganj,2018,3353.91,16514.57,2707.2,43.9,239.4,13.2,107.9,32.2
Onion,Kishoreganj,2019,6369.03,46701.71,2199.6,69.3,68.3,34.5,152.4,30.7
Onion,Kishoreganj,2020,7895.41,41819.26,2811.6,84.0,96.1,12.5,90.7,37.2
Onion,Kishoreganj,2021,1101.88,5156.87,2110.4,67.2,214.0,37.9,147.0,34.5
Onion,Kishoreganj,2022,2424.96,17787.45,2747.2,70.4,213.5,11.1,222.7,50.0
Onion,Kishoreganj,2023,791.93,3884.19,2892.4,56.2,213.6,33.3,136.5,28.8
Onion,Kishoreganj,2024,5923.91,40972.78,2630.5,61.3,186.9,26.6,53.4,52.9
Onion,Kishoreganj,2025,515.56,1680.46,2267.3,42.3,221.5,57.8,118.4,54.5
Onion,Madaripur,2012,4537.96,16353.33,2053.0,54.8,172.0,44.0,49.7,27.2
Onion,Madaripur,2013,3157.24,12503.11,2391.7,66.9,79.1,32.1,210.8,31.6
Onion,Madaripur,2014,4300.44,40220.63,2145.8,86.6,188.7,64.9,183.7,13.9
Onion,Madaripur,2015,1835.72,12182.78,2826.7,83.8,173.8,62.9,95.7,40.2
Onion,Madaripur,2016,1750.76,14150.93,2556.8,94.3,214.4,30.1,176.5,24.5
Onion,Madaripur,2017,5677.17,50537.81,2994.7,83.1,116.0,50.9,184.4,46.5
Onion,Madaripur,2018,6053.55,21839.59,2944.2,76.6,100.8,32.9,236.0,44.9
Onion,Madaripur,2019,2672.89,11641.26,2165.3,78.7,212.1,51.7,90.8,17.8
Onion,Madaripur,2020,7221.52,56402.96,2213.5,53.0,86.9,40.6,165.6,51.3
Onion,Madaripur,2021,6527.21,26029.06,2269.9,78.6,200.6,33.5,114.5,44.9
Onion,Madaripur,2022,1615.75,11716.07,2252.7,79.7,141.0,32.4,209.6,37.5
Onion,Madaripur,2023,4895.59,33318.61,2525.5,57.2,169.9,56.8,182.8,24.9
Onion,Madaripur,2024,4799.38,42806.05,2989.1,62.6,205.0,50.8,220.4,10.8
Onion,Madaripur,2025,4929.94,44505.5,2684.6,41.1,193.6,16.1,190.2,17.3
Onion,Manikganj,2012,1818.17,6513.24,2389.3,44.7,147.8,54.6,234.0,23.6
Onion,Manikganj,2013,7377.84,23002.85,2584.4,41.5,136.1,21.3,143.0,34.6
Onion,Manikganj,2014,1053.05,5057.28,2772.7,69.4,166.0,57.0,74.1,13.5
Onion,Manikganj,2015,2059.23,11830.19,2555.3,44.1,204.8,50.8,107.5,10.7
Onion,Manikganj,2016,6618.35,22362.91,2225.8,67.8,217.6,41.7,195.6,36.4
Onion,Manikganj,2017,745.35,6175.17,2177.3,68.8,108.3,54.0,53.2,42.5
Onion,Manikganj,2018,6139.2,19906.59,2242.4,41.3,198.7,22.7,225.4,17.1
Onion,Manikganj,2019,3063.03,11028.03,2865.1,78.3,139.3,31.1,150.5,28.9
Onion,Manikganj,2020,4958.65,48775.9,2036.9,77.8,144.0,27.1,222.8,18.5
Onion,Manikganj,2021,5306.03,48901.83,2660.4,77.9,69.4,31.6,144.8,27.4
Onion,Manikganj,2022,1132.76,4618.6,2460.8,74.8,243.7,18.1,107.5,20.2
Onion,Manikganj,2023,5915.22,45496.67,2629.2,69.6,77.8,58.8,45.5,37.5
Onion,Manikganj,2024,5879.76,51014.43,2321.4,68.7,151.7,19.8,88.0,48.2
Onion,Manikganj,2025,1949.3,19455.08,2056.2,66.0,192.2,15.0,126.3,39.9
Onion,Munshiganj,2012,6954.77,28908.3,2580.5,90.7,117.6,48.2,136.9,40.4
Onion,Munshiganj,2013,2413.93,14066.04,2668.6,68.3,148.5,34.5,200.2,49.7
Onion,Munshiganj,2014,1196.61,6023.0,2937.1,52.9,89.4,35.2,57.2,52.8
Onion,Munshiganj,2015,3001.1,17989.61,2718.3,42.1,76.3,18.5,204.5,21.9
Onion,Munshiganj,2016,7573.13,52087.48,2060.2,65.0,155.4,36.5,173.5,38.8
Onion,Munshiganj,2017,2188.32,20840.42,2190.5,42.4,169.5,49.4,162.9,48.4
Onion,Munshiganj,2018,1753.66,15716.75,2487.9,77.4,89.4,20.8,156.4,39.6
Onion,Munshiganj,2019,6680.84,25624.91,2001.4,79.4,225.6,16.4,90.2,14.2
Onion,Munshiganj,2020,4496.44,27015.37,2021.9,71.2,222.3,61.2,193.5,54.9
Onion,Munshiganj,2021,1766.0,13638.23,2772.0,87.1,170.7,52.6,216.7,32.8
Onion,Munshiganj,2022,5576.72,30010.2,2939.7,79.3,247.5,22.9,101.2,33.4
Onion,Munshiganj,2023,4957.25,20801.88,2459.5,83.0,219.0,10.7,169.1,12.9
Onion,Munshiganj,2024,3313.86,17856.66,2625.9,45.0,85.1,63.5,200.8,48.4
Onion,Munshiganj,2025,7597.43,30698.58,2588.6,51.0,249.6,49.0,133.0,49.0
Onion,Mymensingh,2012,7696.45,34013.53,2202.5,62.6,125.9,35.3,198.6,40.8
Onion,Mymensingh,2013,2927.9,26215.82,2522.0,74.7,68.8,64.4,155.0,34.5
Onion,Mymensingh,2014,6508.86,20807.55,2425.9,47.9,90.3,61.8,93.4,13.3
Onion,Mymensingh,2015,3671.68,27317.15,2782.7,91.5,171.4,47.9,45.3,14.3
Onion,Mymensingh,2016,3399.43,15532.01,2901.1,40.4,97.2,24.2,131.9,28.9
Onion,Mymensingh,2017,4536.14,28342.96,2445.8,51.6,93.2,55.5,106.5,30.3
Onion,Mymensingh,2018,1994.54,18067.97,2797.4,80.6,214.6,18.9,236.6,21.3
Onion,Mymensingh,2019,2891.96,11615.39,2064.5,73.1,138.0,61.7,239.8,44.2
Onion,Mymensingh,2020,3874.02,26630.19,2112.9,59.8,85.9,60.6,76.6,23.8
Onion,Mymensingh,2021,5537.76,45353.16,2828.3,76.3,225.3,63.5,217.7,20.9
Onion,Mymensingh,2022,6360.02,53181.14,2728.7,48.7,116.2,18.9,177.5,36.6
Onion,Mymensingh,2023,1715.27,15234.26,2511.2,83.5,128.6,28.1,101.6,36.6
Onion,Mymensingh,2024,4487.71,31963.8,2400.3,70.2,81.5,48.7,235.1,38.4
Onion,Mymensingh,2025,1013.11,3492.2,2875.7,51.1,123.6,18.4,221.5,15.7
Onion,Narayanganj,2012,3364.82,32103.02,2580.3,60.6,85.8,27.0,124.4,49.5
Onion,Narayanganj,2013,7595.25,71836.49,2722.1,80.0,131.7,24.1,178.6,13.3
Onion,Narayanganj,2014,3242.12,27185.18,2959.3,73.2,239.6,15.4,82.7,20.0
Onion,Narayanganj,2015,2539.31,11710.2,2478.4,73.2,117.9,34.2,79.7,48.0
Onion,Narayanganj,2016,4872.36,27498.36,2525.5,83.4,189.4,30.3,83.3,27.0
Onion,Narayanganj,2017,7559.69,45626.97,2456.3,91.3,144.9,35.5,197.5,20.1
Onion,Narayanganj,2018,934.04,8234.88,2063.7,72.2,72.0,55.3,234.9,44.0
Onion,Narayanganj,2019,6591.55,44060.34,2114.0,56.9,86.7,30.0,162.8,30.8
Onion,Narayanganj,2020,4943.59,20496.26,2614.1,90.9,109.7,55.4,184.2,50.5
Onion,Narayanganj,2021,3217.7,10057.13,2459.1,40.2,113.9,35.5,171.7,38.6
Onion,Narayanganj,2022,4409.43,29002.08,2257.4,88.5,219.9,39.1,194.5,54.5
Onion,Narayanganj,2023,2711.15,22983.63,2356.8,77.3,184.3,38.4,173.2,50.1
Onion,Narayanganj,2024,569.11,5138.54,2568.7,70.2,154.1,60.4,75.7,38.1
Onion,Narayanganj,2025,4789.82,40554.64,2413.4,93.2,144.9,18.0,179.7,54.4
Onion,Narsingdi,2012,2536.86,10916.14,2121.0,77.4,168.1,23.3,237.0,36.8
Onion,Narsingdi,2013,6297.6,20188.49,2245.0,40.3,225.0,34.8,205.0,33.5
Onion,Narsingdi,2014,6967.9,33910.47,2959.4,74.3,130.7,27.9,104.1,12.7
Onion,Narsingdi,2015,6563.68,61716.01,2770.7,65.3,92.9,52.8,133.1,38.1
Onion,Narsingdi,2016,1336.35,7846.85,2821.5,63.7,146.4,10.3,95.2,45.3
Onion,Narsingdi,2017,1832.97,8108.4,2379.0,47.7,100.0,41.6,226.7,52.1
Onion,Narsingdi,2018,2106.32,20476.92,2676.1,86.4,184.4,64.2,163.2,48.9
Onion,Narsingdi,2019,959.22,8447.95,2408.9,83.5,228.7,47.5,61.9,44.3
Onion,Narsingdi,2020,4335.09,24448.63,2125.3,93.6,170.8,57.6,158.6,52.8
Onion,Narsingdi,2021,3304.3,31109.29,2607.0,45.3,113.2,61.4,227.4,49.9
Onion,Narsingdi,2022,4624.01,39291.58,2449.2,87.7,223.1,20.4,218.3,43.1
Onion,Narsingdi,2023,7068.91,31518.45,2913.6,80.4,192.3,62.4,40.2,51.2
Onion,Narsingdi,2024,2125.64,19858.64,2633.0,44.1,239.1,42.0,209.4,29.2
Onion,Narsingdi,2025,5443.42,34498.28,2554.7,87.9,124.4,20.9,75.5,12.5
Onion,Netrokona,2012,1118.46,8970.88,2917.2,94.0,226.4,28.2,181.0,41.3
Onion,Netrokona,2013,2319.62,15468.09,2337.0,93.2,244.9,64.5,108.3,13.5
Onion,Netrokona,2014,6175.53,24796.02,2989.2,90.3,99.0,56.9,176.9,32.2
Onion,Netrokona,2015,2855.86,15739.87,2168.7,68.1,226.5,11.4,179.4,31.4
Onion,Netrokona,2016,5214.02,18211.6,2633.5,57.1,167.1,56.9,100.9,34.5
Onion,Netrokona,2017,5607.74,30724.11,2786.0,53.0,172.6,31.4,175.1,36.9
Onion,Netrokona,2018,7380.32,66862.71,2619.2,58.3,211.5,42.9,70.0,33.1
Onion,Netrokona,2019,2192.39,12765.57,2172.8,47.7,88.6,50.7,46.8,16.2
Onion,Netrokona,2020,1309.96,7189.19,2160.5,79.0,190.1,30.2,119.0,36.4
Onion,Netrokona,2021,6149.83,37587.51,2014.9,48.1,174.8,39.1,80.0,28.5
Onion,Netrokona,2022,7717.74,31140.67,2698.6,48.1,92.2,30.9,177.8,24.3
Onion,Netrokona,2023,2772.38,18048.16,2891.9,56.2,173.5,13.2,90.6,32.3
Onion,Netrokona,2024,5347.36,50323.84,2332.5,86.3,67.4,43.5,213.3,29.3
Onion,Netrokona,2025,3370.12,24469.09,2976.5,86.4,189.3,45.8,186.8,37.9
Onion,Rajbari,2012,6983.02,61030.65,2807.1,80.6,230.1,33.2,82.2,37.7
Onion,Rajbari,2013,1845.76,13817.84,2723.4,89.3,246.8,12.9,152.2,30.8
Onion,Rajbari,2014,6753.83,42295.8,2564.2,84.5,240.8,14.2,153.2,46.8
Onion,Rajbari,2015,2653.11,12910.37,2488.1,47.3,122.6,27.4,195.2,31.9
Onion,Rajbari,2016,7335.46,46002.47,2510.7,46.9,224.3,14.3,52.4,27.8
Onion,Rajbari,2017,4219.65,13029.51,2863.8,67.1,206.7,15.5,230.0,29.9
Onion,Rajbari,2018,2175.55,6753.79,2549.0,72.3,158.8,34.9,214.3,29.3
Onion,Rajbari,2019,2739.62,13404.6,2570.3,60.0,60.5,43.3,161.6,33.8
Onion,Rajbari,2020,5839.82,44361.98,2057.9,87.3,124.6,46.7,176.8,39.4
Onion,Rajbari,2021,6612.68,65057.97,2761.3,79.9,149.8,55.4,153.9,43.8
Onion,Rajbari,2022,3636.79,15820.26,2322.1,77.5,180.8,47.9,123.2,19.0
Onion,Rajbari,2023,6238.42,36600.94,2969.4,57.9,182.9,22.0,79.9,30.5
Onion,Rajbari,2024,6618.75,60847.66,2807.0,88.2,215.6,15.6,150.2,35.2
Onion,Rajbari,2025,1623.63,10216.59,2914.5,86.1,89.6,44.1,198.1,15.4
Onion,Shariatpur,2012,6506.59,50223.45,2114.0,88.7,93.2,39.4,182.5,19.7
Onion,Shariatpur,2013,6194.36,41032.57,2578.7,50.0,146.0,54.6,99.6,53.9
Onion,Shariatpur,2014,5666.61,24564.52,2143.6,62.1,113.1,38.3,83.8,29.0
Onion,Shariatpur,2015,1347.04,12637.83,2179.2,51.2,95.1,61.2,181.8,49.1
Onion,Shariatpur,2016,5815.54,30957.46,2013.0,84.0,171.9,25.2,40.5,14.3
Onion,Shariatpur,2017,6131.45,28302.63,2316.7,43.8,123.4,24.9,173.5,38.6
Onion,Shariatpur,2018,1904.87,14334.33,2885.3,89.0,63.7,25.6,190.3,50.6
Onion,Shariatpur,2019,5992.36,25834.29,2346.1,56.2,128.0,17.1,47.8,49.2
Onion,Shariatpur,2020,4884.72,36823.56,2873.6,87.9,154.7,34.6,98.5,31.1
Onion,Shariatpur,2021,5496.77,51616.83,2735.6,64.3,145.0,47.9,233.1,23.7
Onion,Shariatpur,2022,7089.06,57288.39,2081.5,86.1,241.0,34.5,106.3,47.7
Onion,Shariatpur,2023,6002.4,22895.92,2773.0,76.5,144.1,15.1,40.1,36.3
Onion,Shariatpur,2024,5337.36,44611.89,2916.4,43.6,71.3,30.8,191.9,37.2
Onion,Shariatpur,2025,4645.37,46145.09,2336.7,64.7,227.1,14.1,205.9,53.1
Onion,Sherpur,2012,5418.97,37099.66,2026.0,87.7,160.1,18.8,49.7,28.5
Onion,Sherpur,2013,2474.56,22450.57,2664.0,79.1,155.7,56.1,238.2,14.0
Onion,Sherpur,2014,7066.72,63271.59,2426.9,83.8,113.8,10.2,101.4,47.1
Onion,Sherpur,2015,4391.94,42752.53,2165.6,78.8,212.9,10.8,85.8,46.2
Onion,Sherpur,2016,679.63,4630.06,2755.8,61.9,98.3,50.3,41.0,26.1
Onion,Sherpur,2017,6882.57,61206.42,2698.8,83.1,165.5,62.8,201.6,43.7
Onion,Sherpur,2018,2936.1,16050.92,2835.1,89.3,210.4,54.9,61.1,36.2
Onion,Sherpur,2019,4805.55,36056.32,2089.6,68.0,214.1,29.3,69.0,52.1
Onion,Sherpur,2020,2869.08,11595.1,2502.2,83.1,137.6,40.3,235.8,34.9
Onion,Sherpur,2021,7672.98,39117.92,2818.6,49.0,123.7,61.7,184.4,44.1
Onion,Sherpur,2022,6797.04,51160.99,2592.8,87.5,222.1,30.0,210.1,28.0
Onion,Sherpur,2023,2570.88,11012.52,2191.1,69.0,134.7,24.8,205.2,39.6
Onion,Sherpur,2024,1418.38,6594.72,2899.2,44.5,205.6,56.0,85.6,29.5
Onion,Sherpur,2025,677.57,4205.66,2252.0,94.5,171.4,17.6,172.6,14.7
Onion,Tangail,2012,1974.19,15211.89,2934.1,59.8,145.9,35.0,83.6,39.7
Onion,Tangail,2013,602.27,3539.25,2066.7,69.2,130.6,58.7,87.7,27.6
Onion,Tangail,2014,1803.73,11103.35,2686.4,94.5,236.6,10.8,239.0,49.7
Onion,Tangail,2015,4087.29,27232.91,2763.6,46.6,87.2,31.4,144.9,10.4
Onion,Tangail,2016,3371.57,31905.3,2158.5,76.2,231.6,53.8,44.5,46.4
Onion,Tangail,2017,6672.35,27210.1,2288.4,45.6,121.5,54.8,212.7,33.7
Onion,Tangail,2018,1572.96,7821.45,2196.5,85.2,220.1,48.1,85.2,27.6
Onion,Tangail,2019,6168.12,28780.25,2264.7,62.4,208.1,37.6,41.6,43.1
Onion,Tangail,2020,3604.67,27887.9,2266.9,77.9,230.4,30.0,106.2,14.7
Onion,Tangail,2021,6970.73,44982.63,2843.1,79.2,182.2,21.1,202.1,25.9
Onion,Tangail,2022,2665.49,19937.17,2015.3,41.2,183.6,33.9,147.5,51.3
Onion,Tangail,2023,3346.1,31726.95,2638.0,94.1,106.2,38.2,126.0,17.2
Onion,Tangail,2024,3415.09,29095.73,2208.3,84.6,151.9,17.6,99.0,36.1
Onion,Tangail,2025,7295.75,67789.96,2452.0,43.3,68.9,45.4,172.8,33.1
Onion,Bogra,2012,1648.53,9292.29,2838.8,48.7,120.6,34.3,190.1,16.6
Onion,Bogra,2013,6750.59,36577.43,2582.7,55.5,198.9,28.6,204.9,46.1
Onion,Bogra,2014,7798.74,41394.78,2916.5,67.6,127.6,21.0,159.4,49.0
Onion,Bogra,2015,6143.33,40440.6,2791.2,91.2,130.8,39.2,99.6,20.6
Onion,Bogra,2016,4488.75,38518.19,2332.8,86.2,108.2,42.7,101.3,10.7
Onion,Bogra,2017,5713.25,50607.96,2501.5,90.2,214.5,55.3,116.0,20.6
Onion,Bogra,2018,1153.1,8820.08,2823.4,85.6,82.6,42.0,169.2,50.2
Onion,Bogra,2019,2384.78,14118.23,2540.0,69.8,192.5,12.6,187.3,33.5
Onion,Bogra,2020,3426.52,23194.56,2840.3,75.3,67.5,32.5,134.0,14.2
Onion,Bogra,2021,2361.81,11196.57,2106.5,63.5,165.9,57.6,83.2,16.8
Onion,Bogra,2022,1650.34,14486.41,2109.3,75.3,93.8,61.7,114.9,45.3
Onion,Bogra,2023,6072.79,26673.33,2312.5,91.3,247.6,39.5,168.6,34.5
Onion,Bogra,2024,6788.51,47282.97,2878.0,94.7,156.6,16.6,109.2,48.9
Onion,Bogra,2025,5107.43,29861.94,2998.9,58.5,157.6,11.2,45.8,25.1
Onion,Joypurhat,2012,1792.41,11807.54,2112.7,72.1,167.7,31.1,70.0,27.9
Onion,Joypurhat,2013,3686.64,29224.98,2340.6,77.0,243.2,22.3,168.9,47.3
Onion,Joypurhat,2014,5988.33,29715.38,2938.2,44.2,67.3,28.5,56.2,44.0
Onion,Joypurhat,2015,7722.21,26005.81,2097.0,73.6,186.5,62.6,177.5,40.0
Onion,Joypurhat,2016,4004.25,18825.25,2854.1,77.3,72.7,18.0,40.7,34.6
Onion,Joypurhat,2017,7252.34,58721.18,2100.6,92.0,185.8,43.2,164.9,32.3
Onion,Joypurhat,2018,5211.45,28178.59,2359.4,78.8,86.0,30.4,84.1,23.8
Onion,Joypurhat,2019,4011.63,14246.35,2845.0,61.8,69.6,64.6,218.4,18.5
Onion,Joypurhat,2020,4901.22,18513.98,2294.6,91.4,129.1,29.0,130.3,27.3
Onion,Joypurhat,2021,6030.69,53505.67,2766.7,59.6,167.2,33.1,68.7,41.8
Onion,Joypurhat,2022,7938.48,74912.73,2647.7,48.5,174.1,19.2,98.4,43.6
Onion,Joypurhat,2023,2258.32,16829.31,2071.1,53.8,240.0,47.2,222.0,11.2
Onion,Joypurhat,2024,5284.14,20967.09,2008.1,86.1,176.0,34.1,223.2,28.2
Onion,Joypurhat,2025,5150.63,45505.16,2104.3,88.6,155.3,26.4,124.8,42.3
Onion,Naogaon,2012,730.98,4417.54,2347.3,45.4,141.3,53.1,149.2,26.9
Onion,Naogaon,2013,3782.79,16686.07,2653.1,45.4,79.5,18.4,123.6,53.3
Onion,Naogaon,2014,3210.9,19841.19,2236.8,73.7,188.9,40.0,74.0,16.6
Onion,Naogaon,2015,2452.93,21079.16,2293.1,58.1,200.0,55.1,237.9,25.8
Onion,Naogaon,2016,3207.37,15672.22,2332.3,70.6,127.8,43.5,43.9,47.1
Onion,Naogaon,2017,4111.41,23779.16,2288.0,63.2,79.5,12.0,221.2,32.6
Onion,Naogaon,2018,5784.08,24593.38,2923.0,87.0,187.5,58.6,53.3,43.1
Onion,Naogaon,2019,2978.92,22681.8,2676.9,43.0,60.7,60.8,150.4,32.4
Onion,Naogaon,2020,4017.55,24513.58,2462.4,61.3,85.1,53.1,129.0,47.2
Onion,Naogaon,2021,4567.53,17052.79,2263.9,81.3,132.8,53.2,110.4,43.2
Onion,Naogaon,2022,5151.23,29807.11,2048.0,41.1,131.2,36.6,111.4,54.8
Onion,Naogaon,2023,2228.12,10279.73,2940.7,56.8,100.9,29.3,233.7,31.1
Onion,Naogaon,2024,5669.34,47260.72,2291.3,57.1,64.9,44.0,218.6,42.2
Onion,Naogaon,2025,6837.56,67265.97,2734.2,59.7,170.7,51.2,193.0,21.4
Onion,Natore,2012,2835.58,26892.48,2231.2,46.3,195.1,46.8,218.1,51.4
Onion,Natore,2013,7641.1,53602.38,2847.2,81.6,249.8,14.8,176.6,15.1
Onion,Natore,2014,3550.02,12021.64,2834.5,57.1,156.4,40.4,183.4,13.0
Onion,Natore,2015,3423.61,15501.57,2852.4,90.1,163.5,57.6,112.7,26.8
Onion,Natore,2016,5985.99,34376.96,2003.7,77.5,213.3,15.3,154.5,12.6
Onion,Natore,2017,2273.9,20660.43,2943.4,70.2,147.6,42.1,128.0,54.5
